customer_id,customer_name,signup_date
1,Customer_1,2023-01-01
2,Customer_2,2023-01-04
3,Customer_3,2023-01-07
4,Customer_4,2023-01-10
5,Customer_5,2023-01-13
6,Customer_6,2023-01-16
7,Customer_7,2023-01-19
8,Customer_8,2023-01-22
9,Customer_9,2023-01-25
10,Customer_10,2023-01-28
11,Customer_11,2023-01-31
12,Customer_12,2023-02-03
13,Customer_13,2023-02-06
14,Customer_14,2023-02-09
15,Customer_15,2023-02-12
16,Customer_16,2023-02-15
17,Customer_17,2023-02-18
18,Customer_18,2023-02-21
19,Customer_19,2023-02-24
20,Customer_20,2023-02-27
21,Customer_21,2023-03-02
22,Customer_22,2023-03-05
23,Customer_23,2023-03-08
24,Customer_24,2023-03-11
25,Customer_25,2023-03-14
26,Customer_26,2023-03-17
27,Customer_27,2023-03-20
28,Customer_28,2023-03-23
29,Customer_29,2023-03-26
30,Customer_30,2023-03-29
31,Customer_31,2023-04-01
32,Customer_32,2023-04-04
33,Customer_33,2023-04-07
34,Customer_34,2023-04-10
35,Customer_35,2023-04-13
36,Customer_36,2023-04-16
37,Customer_37,2023-04-19
38,Customer_38,2023-04-22
39,Customer_39,2023-04-25
40,Customer_40,2023-04-28
41,Customer_41,2023-05-01
42,Customer_42,2023-05-04
43,Customer_43,2023-05-07
44,Customer_44,2023-05-10
45,Customer_45,2023-05-13
46,Customer_46,2023-05-16
47,Customer_47,2023-05-19
48,Customer_48,2023-05-22
49,Customer_49,2023-05-25
50,Customer_50,2023-05-28
